NAME,PRICE,DISCOUNT,RATING,REVIEWS,FEATURES
Veirdo - Purple Cotton Regular Fit Men's T-Shirt ( Pack of 1 ),356,70% OFF,4.3,68 Ratings,"Veirdo, Fabric:Cotton, Color:Purple, Pattern:Printed, Fit:Regular Fit, Pack:Pack of 1, GSM (gram per square meter for fabric):180, Neck Shape:Round, Pattern Coverage:Back, Product Length:Regular, Closure:Pullover, Wash Care:Machine Wash, Season:Summer, Shop By Occasion:Casual, Sleeves Length:Half Sleeves, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL691718439"
AUSK Cotton Blend Regular Fit Solid Half Sleeves Men's T-Shirt - Black ( Pack of 1 ),210,86% OFF,4.2,240 Ratings,"AUSK, Fabric:Cotton Blend, Color:Black, Pattern:Solid, Fit:Regular Fit, Hemline:Straight, Pack:Pack of 1, Neck Shape:Mandarin Collar, Pattern Coverage:All Over, Product Length:Regular, Weave Type:Knitted, Closure:Button, Wash Care:Machine Wash, Number of Pocket:1, Sleeves Length:Half Sleeves, Pattern or Print Type:Solid, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL178738651"
Leotude - Black Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),370,77% OFF,4.2,705 Ratings,"Leotude, Fabric:Cotton Blend, Color:Black, Pattern:Colorblock, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:Full Front, Number of Pocket:No Pocket, Pattern or Print Type:Colorblock, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Wash Care:Machine wash, Season:Summer, SUPC: SDL867560893"
Leotude - Grey Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),370,77% OFF,4.2,705 Ratings,"Leotude, Fabric:Cotton Blend, Color:Black, Pattern:Colorblock, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:Full Front, Number of Pocket:No Pocket, Pattern or Print Type:Colorblock, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Wash Care:Machine wash, Season:Summer, SUPC: SDL088331060"
Leotude - Mustard Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),370,66% OFF,4.2,192 Ratings,"Leotude, Color: Mustard, Net Contents: 1, Pattern: Colorblock, Fit: Regular Fit, Number of Pocket: No Pocket, Pattern or Print Type: Colorblock, Sleeves Length: Half Sleeves, Wash Care: Machine Wash, Fabric: Cotton Blend, Pack: Pack of 1, Shop By Occasion: Casual, Product Length: Regular, Pattern Coverage: Full Front, Season: Summer, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL510523767"
The Million Club - Maroon Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),290,81% OFF,4.2,22 Ratings,"The Million Club, Fabric:Cotton Blend, Color:Maroon, Pattern:Solid, Fit:Regular Fit, Pack:Pack of 1, Sleeves Length:Half Sleeves, Pattern Coverage:All Over, Number of Pocket:No Pocket, Pattern or Print Type:Solid, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., Product Length:Regular, Weave Type:Knitted, Wash Care:Machine wash, Season:Summer, SUPC: SDL843473269"
BULLMER - Maroon Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),356,64% OFF,4.2,28 Ratings,"BULLMER, Color: Maroon, Net Contents: 1, Pattern: Striped, Fit: Regular Fit, Number of Pocket: No Pocket, Pattern or Print Type: Vertical Striped, Sleeves Length: Half Sleeves, Wash Care: Hand Wash, Fabric: Cotton Blend, Pack: Pack of 1, Shop By Occasion: Casual, Product Length: Regular, Pattern Coverage: Full Front, Season: Summer, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL885273431"
BULLMER - Green Cotton Blend Regular Fit Men's Polo T Shirt ( Pack of 1 ),356,64% OFF,4.2,353 Ratings,"BULLMER, Color: Green, Net Contents: 1, Pattern: Printed, Fit: Regular Fit, Number of Pocket: 1, Pattern or Print Type: Abstract, Sleeves Length: Half Sleeves, Wash Care: Hand Wash, Fabric: Cotton Blend, Pack: Pack of 1, Shop By Occasion: Casual, Product Length: Regular, Pattern Coverage: All Over, Season: Summer, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL874207962"
AUSK - Multicolor Cotton Regular Fit Men's T-Shirt ( Pack of 1 ),250,75% OFF,4.1,133 Ratings,"AUSK, Fabric:Cotton, Color:Multicolor, Pattern:Striped, Fit:Regular Fit, Hemline:Straight, Pack:Pack of 1, Neck Shape:Round, Pattern Coverage:Chest, Product Length:Regular, Weave Type:Knitted, Closure:Pullover, Sleeve styling:Regular, Wash Care:Machine Wash, Number of Pocket:No Pocket, Sleeves Length:Half Sleeves, Pattern or Print Type:Horizontal Striped, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL505802665"
The Million Club - Light Blue Cotton Blend Regular Fit Men's T-Shirt ( Pack of 1 ),234,77% OFF,4.1,41 Ratings,"The Million Club, Color: Light Blue, Net Contents: 1, Shop By Occasion: Casual, Season: Summer, Neck Shape: Round, Sleeves Length: Half Sleeves, Pattern: Printed, Fit: Regular Fit, Fabric: Cotton Blend, Wash Care: Machine Wash, Pack: Pack of 1, Number of Pocket: No Pocket, Hemline: Straight, Closure: Pullover, Product Length: Regular, Pattern Coverage: Full Front, Pattern or Print Type: Typography, Weave Type: Knitted, The product may vary from the images due to various reasons like monitor setting or photographic lighting sources or handiwork & craftmanship., SUPC: SDL465150240"
